Warning: Design 'jaa' has '1' unresolved references. For more detailed information, use the "link" command. (UID-341)
Information: Updating design information... (UID-85)
 
****************************************
Report : cell
Design : jaa
Version: C-2009.06-SP5
Date   : Sun Jul  8 12:33:12 2018
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
   so - sizing only
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
instructions_reg[146]     TLATX4          typical         56.548801 n, so
instructions_reg[147]     TLATX4          typical         56.548801 n, so
instructions_reg[148]     TLATX4          typical         56.548801 n, so
instructions_reg[149]     TLATX4          typical         56.548801 n, so
instructions_reg[150]     TLATX4          typical         56.548801 n, so
instructions_reg[151]     TLATX4          typical         56.548801 n, so
instructions_reg[152]     TLATX4          typical         56.548801 n, so
instructions_reg[153]     TLATX4          typical         56.548801 n, so
instructions_reg[154]     TLATX4          typical         56.548801 n, so
instructions_reg[155]     TLATX4          typical         56.548801 n, so
instructions_reg[156]     TLATX4          typical         56.548801 n, so
instructions_reg[157]     TLATX4          typical         56.548801 n, so
instructions_reg[158]     TLATX4          typical         56.548801 n, so
instructions_reg[159]     TLATX4          typical         56.548801 n, so
instructions_reg[160]     TLATX4          typical         56.548801 n, so
instructions_reg[161]     TLATX4          typical         56.548801 n, so
instructions_reg[162]     TLATX4          typical         56.548801 n, so
instructions_reg[163]     TLATX4          typical         56.548801 n, so
instructions_reg[164]     TLATX4          typical         56.548801 n, so
instructions_reg[165]     TLATX4          typical         56.548801 n, so
instructions_reg[166]     TLATX4          typical         56.548801 n, so
instructions_reg[167]     TLATX4          typical         56.548801 n, so
instructions_reg[168]     TLATX4          typical         56.548801 n, so
instructions_reg[169]     TLATX4          typical         56.548801 n, so
instructions_reg[170]     TLATX4          typical         56.548801 n, so
instructions_reg[171]     TLATX4          typical         56.548801 n, so
instructions_reg[172]     TLATX4          typical         56.548801 n, so
instructions_reg[173]     TLATX4          typical         56.548801 n, so
instructions_reg[174]     TLATX4          typical         56.548801 n, so
instructions_reg[175]     TLATX4          typical         56.548801 n, so
instructions_reg[176]     TLATX4          typical         56.548801 n, so
instructions_reg[177]     TLATX4          typical         56.548801 n, so
instructions_reg[178]     TLATX4          typical         56.548801 n, so
instructions_reg[179]     TLATX4          typical         56.548801 n, so
instructions_reg[180]     TLATX4          typical         56.548801 n, so
instructions_reg[181]     TLATX4          typical         56.548801 n, so
instructions_reg[182]     TLATX4          typical         56.548801 n, so
instructions_reg[183]     TLATX4          typical         56.548801 n, so
instructions_reg[184]     TLATX4          typical         56.548801 n, so
instructions_reg[185]     TLATX4          typical         56.548801 n, so
instructions_reg[186]     TLATX4          typical         56.548801 n, so
instructions_reg[187]     TLATX4          typical         56.548801 n, so
instructions_reg[188]     TLATX4          typical         56.548801 n, so
instructions_reg[189]     TLATX4          typical         56.548801 n, so
instructions_reg[190]     TLATX4          typical         56.548801 n, so
instructions_reg[191]     TLATX4          typical         56.548801 n, so
quantity_reg[0]           TLATX4          typical         56.548801 n, so
quantity_reg[1]           TLATX4          typical         56.548801 n, so
quantity_reg[2]           TLATX4          typical         56.548801 n, so
quantity_reg[3]           TLATX4          typical         56.548801 n, so
write_enable_reg          TLATX4          typical         56.548801 n, so
--------------------------------------------------------------------------------
Total 197 cells                                           11116.829079
1
